freq (Hz),dB20(V(out)) (dB),phase(V(out)) (deg)
171.13283,-60.000000,0.0098
174.44827,-60.000000,0.0100
177.82794,-60.000000,0.0102
181.27309,-60.000000,0.0104
184.78498,-60.000000,0.0106
188.36491,-60.000000,0.0108
192.01419,-60.000000,0.0110
195.73418,-60.000000,0.0112
199.52623,-60.000000,0.0114
203.39175,-60.000000,0.0116
207.33216,-60.000000,0.0118
211.3489,-60.000000,0.0121
215.44347,-60.000000,0.0123
219.61736,-60.000000,0.0125
223.87211,-60.000000,0.0128
228.2093,-60.000000,0.0130
232.63051,-60.000000,0.0133
237.13737,-60.000000,0.0135
241.73155,-60.000000,0.0138
246.41473,-60.000000,0.0141
251.18864,-60.000000,0.0143
256.05504,-60.000000,0.0146
261.01572,-60.000000,0.0149
266.07251,-60.000000,0.0152
271.22726,-60.000000,0.0155
276.48188,-60.000000,0.0158
281.83829,-60.000000,0.0161
287.29848,-60.000000,0.0164
292.86446,-60.000000,0.0167
298.53826,-60.000000,0.0170
304.32199,-60.000000,0.0174
310.21777,-60.000000,0.0177
316.22777,-60.000000,0.0181
322.3542,-60.000000,0.0184
328.59932,-60.000000,0.0188
334.96544,-60.000000,0.0191
341.45489,-59.999999,0.0195
348.07006,-59.999999,0.0199
354.81339,-59.999999,0.0203
361.68736,-59.999999,0.0207
368.69451,-59.999999,0.0211
375.8374,-59.999999,0.0215
383.11868,-59.999999,0.0219
390.54103,-59.999999,0.0223
398.10717,-59.999999,0.0227
405.81989,-59.999999,0.0232
413.68204,-59.999999,0.0236
421.6965,-59.999999,0.0241
429.86623,-59.999999,0.0245
438.19424,-59.999999,0.0250
446.68359,-59.999999,0.0255
455.33741,-59.999999,0.0260
464.15888,-59.999999,0.0265
473.15126,-59.999999,0.0270
482.31785,-59.999999,0.0275
491.66203,-59.999999,0.0281
501.18723,-59.999999,0.0286
510.89698,-59.999999,0.0292
520.79483,-59.999999,0.0297
530.88444,-59.999999,0.0303
541.16953,-59.999999,0.0309
551.65387,-59.999999,0.0315
562.34133,-59.999999,0.0321
573.23584,-59.999999,0.0327
584.34141,-59.999999,0.0334
595.66214,-59.999998,0.0340
607.2022,-59.999998,0.0347
618.96582,-59.999998,0.0353
630.95734,-59.999998,0.0360
643.18119,-59.999998,0.0367
655.64185,-59.999998,0.0374
668.34392,-59.999998,0.0382
681.29207,-59.999998,0.0389
694.49107,-59.999998,0.0397
707.94578,-59.999998,0.0404
721.66116,-59.999998,0.0412
735.64225,-59.999998,0.0420
749.89421,-59.999998,0.0428
764.42227,-59.999997,0.0437
779.2318,-59.999997,0.0445
794.32823,-59.999997,0.0454
809.71714,-59.999997,0.0462
825.40419,-59.999997,0.0471
841.39514,-59.999997,0.0480
857.6959,-59.999997,0.0490
874.31246,-59.999997,0.0499
891.25094,-59.999997,0.0509
908.51758,-59.999996,0.0519
926.11873,-59.999996,0.0529
944.06088,-59.999996,0.0539
962.35063,-59.999996,0.0550
980.99471,-59.999996,0.0560
1000,-59.999996,0.0571
1019.3735,-59.999995,0.0582
1039.1223,-59.999995,0.0593
1059.2537,-59.999995,0.0605
1079.7752,-59.999995,0.0617
1100.6942,-59.999995,0.0629
1122.0185,-59.999995,0.0641
1143.7559,-59.999994,0.0653
1165.9144,-59.999994,0.0666
1188.5022,-59.999994,0.0679
1211.5277,-59.999994,0.0692
1234.9992,-59.999993,0.0705
1258.9254,-59.999993,0.0719
1283.3152,-59.999993,0.0733
1308.1775,-59.999993,0.0747
1333.5214,-59.999992,0.0762
1359.3564,-59.999992,0.0776
1385.6919,-59.999992,0.0791
1412.5375,-59.999991,0.0807
1439.9033,-59.999991,0.0822
1467.7993,-59.999991,0.0838
1496.2357,-59.999990,0.0854
1525.223,-59.999990,0.0871
1554.7718,-59.999989,0.0888
1584.8932,-59.999989,0.0905
1615.5981,-59.999989,0.0923
1646.8979,-59.999988,0.0940
1678.804,-59.999988,0.0959
1711.3283,-59.999987,0.0977
1744.4827,-59.999987,0.0996
1778.2794,-59.999986,0.1015
1812.7309,-59.999986,0.1035
1847.8498,-59.999985,0.1055
1883.6491,-59.999985,0.1076
1920.1419,-59.999984,0.1096
1957.3418,-59.999983,0.1118
1995.2623,-59.999983,0.1139
2033.9175,-59.999982,0.1161
2073.3216,-59.999981,0.1184
2113.489,-59.999981,0.1207
2154.4347,-59.999980,0.1230
2196.1736,-59.999979,0.1254
2238.7211,-59.999978,0.1278
2282.093,-59.999977,0.1303
2326.3051,-59.999976,0.1328
2371.3737,-59.999976,0.1354
2417.3155,-59.999975,0.1380
2464.1473,-59.999974,0.1407
2511.8864,-59.999973,0.1434
2560.5504,-59.999972,0.1462
2610.1572,-59.999970,0.1491
2660.7251,-59.999969,0.1519
2712.2726,-59.999968,0.1549
2764.8188,-59.999967,0.1579
2818.3829,-59.999965,0.1609
2872.9848,-59.999964,0.1641
2928.6446,-59.999963,0.1672
2985.3826,-59.999961,0.1705
3043.2199,-59.999960,0.1738
3102.1777,-59.999958,0.1771
3162.2777,-59.999957,0.1806
3223.542,-59.999955,0.1841
3285.9932,-59.999953,0.1876
3349.6544,-59.999951,0.1913
3414.5489,-59.999949,0.1950
3480.7006,-59.999947,0.1988
3548.1339,-59.999945,0.2026
3616.8736,-59.999943,0.2065
3686.9451,-59.999941,0.2105
3758.374,-59.999939,0.2146
3831.1868,-59.999936,0.2188
3905.4103,-59.999934,0.2230
3981.0717,-59.999931,0.2273
4058.1989,-59.999928,0.2317
4136.8204,-59.999926,0.2362
4216.965,-59.999923,0.2408
4298.6623,-59.999920,0.2455
4381.9424,-59.999917,0.2502
4466.8359,-59.999913,0.2551
4553.3741,-59.999910,0.2600
4641.5888,-59.999906,0.2651
4731.5126,-59.999903,0.2702
4823.1785,-59.999899,0.2754
4916.6203,-59.999895,0.2808
5011.8723,-59.999891,0.2862
5108.9698,-59.999887,0.2917
5207.9483,-59.999882,0.2974
5308.8444,-59.999878,0.3032
5411.6953,-59.999873,0.3090
5516.5387,-59.999868,0.3150
5623.4133,-59.999863,0.3211
5732.3584,-59.999857,0.3273
5843.4141,-59.999852,0.3337
5956.6214,-59.999846,0.3401
6072.022,-59.999840,0.3467
6189.6582,-59.999834,0.3535
6309.5734,-59.999827,0.3603
6431.8119,-59.999820,0.3673
6556.4185,-59.999813,0.3744
6683.4392,-59.999806,0.3817
6812.9207,-59.999798,0.3890
6944.9107,-59.999790,0.3966
7079.4578,-59.999782,0.4043
7216.6116,-59.999774,0.4121
7356.4225,-59.999765,0.4201
7498.9421,-59.999756,0.4282
7644.2227,-59.999746,0.4365
7792.318,-59.999736,0.4450
7943.2823,-59.999726,0.4536
8097.1714,-59.999715,0.4624
8254.0419,-59.999704,0.4713
8413.9514,-59.999692,0.4805
8576.959,-59.999680,0.4898
8743.1246,-59.999668,0.4993
8912.5094,-59.999655,0.5089
9085.1758,-59.999641,0.5188
9261.1873,-59.999627,0.5288
9440.6088,-59.999613,0.5391
9623.5063,-59.999598,0.5495
9809.9471,-59.999582,0.5602
10000,-59.999566,0.5710
10193.735,-59.999549,0.5821
10391.223,-59.999531,0.5934
10592.537,-59.999513,0.6049
10797.752,-59.999494,0.6166
11006.942,-59.999474,0.6285
11220.185,-59.999453,0.6407
11437.559,-59.999432,0.6531
11659.144,-59.999410,0.6658
11885.022,-59.999386,0.6787
12115.277,-59.999362,0.6918
12349.992,-59.999338,0.7052
12589.254,-59.999312,0.7189
12833.152,-59.999285,0.7328
13081.775,-59.999257,0.7470
13335.214,-59.999228,0.7615
13593.564,-59.999197,0.7762
13856.919,-59.999166,0.7912
14125.375,-59.999133,0.8066
14399.033,-59.999099,0.8222
14677.993,-59.999064,0.8381
14962.357,-59.999028,0.8544
15252.23,-59.998990,0.8709
15547.718,-59.998950,0.8878
15848.932,-59.998909,0.9050
16155.981,-59.998866,0.9225
16468.979,-59.998822,0.9404
16788.04,-59.998776,0.9586
17113.283,-59.998728,0.9772
17444.827,-59.998678,0.9961
17782.794,-59.998627,1.0154
18127.309,-59.998573,1.0350
18478.498,-59.998517,1.0551
18836.491,-59.998459,1.0755
19201.419,-59.998399,1.0964
19573.418,-59.998336,1.1176
19952.623,-59.998271,1.1392
20339.175,-59.998203,1.1613
20733.216,-59.998133,1.1838
21134.89,-59.998060,1.2067
21544.347,-59.997984,1.2301
21961.736,-59.997905,1.2539
22387.211,-59.997824,1.2782
22820.93,-59.997738,1.3030
23263.051,-59.997650,1.3282
23713.737,-59.997558,1.3539
24173.155,-59.997462,1.3801
24641.473,-59.997363,1.4069
25118.864,-59.997260,1.4341
25605.504,-59.997153,1.4619
26101.572,-59.997042,1.4902
26607.251,-59.996926,1.5190
27122.726,-59.996806,1.5485
27648.188,-59.996681,1.5784
28183.829,-59.996551,1.6090
28729.848,-59.996416,1.6402
29286.446,-59.996276,1.6719
29853.826,-59.996130,1.7043
30432.199,-59.995979,1.7373
31021.777,-59.995822,1.7709
31622.777,-59.995658,1.8052
32235.42,-59.995489,1.8402
32859.932,-59.995312,1.8758
33496.544,-59.995129,1.9121
34145.489,-59.994938,1.9491
34807.006,-59.994741,1.9868
35481.339,-59.994535,2.0253
36168.736,-59.994321,2.0645
36869.451,-59.994099,2.1045
37583.74,-59.993869,2.1452
38311.868,-59.993629,2.1867
39054.103,-59.993380,2.2290
39810.717,-59.993121,2.2722
40581.989,-59.992852,2.3162
41368.204,-59.992573,2.3610
42169.65,-59.992282,2.4067
42986.623,-59.991981,2.4532
43819.424,-59.991667,2.5007
44668.359,-59.991342,2.5491
45533.741,-59.991003,2.5984
46415.888,-59.990652,2.6487
47315.126,-59.990286,2.6999
48231.785,-59.989907,2.7521
49166.203,-59.989512,2.8054
50118.723,-59.989103,2.8596
51089.698,-59.988677,2.9149
52079.483,-59.988234,2.9713
53088.444,-59.987775,3.0288
54116.953,-59.987297,3.0873
55165.387,-59.986801,3.1470
56234.133,-59.986285,3.2078
57323.584,-59.985750,3.2699
58434.141,-59.985193,3.3331
59566.214,-59.984615,3.3975
60720.22,-59.984014,3.4631
61896.582,-59.983390,3.5301
63095.734,-59.982741,3.5983
64318.119,-59.982068,3.6678
65564.185,-59.981368,3.7387
66834.392,-59.980640,3.8109
68129.207,-59.979885,3.8845
69449.107,-59.979100,3.9595
70794.578,-59.978284,4.0360
72166.116,-59.977437,4.1139
73564.225,-59.976556,4.1933
74989.421,-59.975642,4.2742
76442.227,-59.974691,4.3567
77923.18,-59.973704,4.4408
79432.823,-59.972679,4.5265
80971.714,-59.971613,4.6138
82540.419,-59.970507,4.7028
84139.514,-59.969357,4.7934
85769.59,-59.968162,4.8859
87431.246,-59.966922,4.9800
89125.094,-59.965633,5.0760
90851.758,-59.964294,5.1738
92611.873,-59.962903,5.2735
94406.088,-59.961458,5.3751
96235.063,-59.959957,5.4786
98099.471,-59.958398,5.5840
100000,-59.956778,5.6915
101937.35,-59.955096,5.8010
103912.23,-59.953348,5.9126
105925.37,-59.951533,6.0263
107977.52,-59.949648,6.1422
110069.42,-59.947690,6.2602
112201.85,-59.945657,6.3805
114375.59,-59.943544,6.5030
116591.44,-59.941350,6.6279
118850.22,-59.939072,6.7551
121152.77,-59.936706,6.8847
123499.92,-59.934248,7.0168
125892.54,-59.931696,7.1513
128331.52,-59.929045,7.2884
130817.75,-59.926293,7.4280
133352.14,-59.923434,7.5702
135935.64,-59.920466,7.7151
138569.19,-59.917384,7.8627
141253.75,-59.914184,8.0131
143990.33,-59.910861,8.1662
146779.93,-59.907410,8.3222
149623.57,-59.903828,8.4811
152522.3,-59.900108,8.6429
155477.18,-59.896246,8.8077
158489.32,-59.892237,8.9756
161559.81,-59.888075,9.1465
164689.79,-59.883754,9.3206
167880.4,-59.879269,9.4979
171132.83,-59.874613,9.6784
174448.27,-59.869781,9.8623
177827.94,-59.864765,10.0494
181273.09,-59.859559,10.2400
184784.98,-59.854156,10.4340
188364.91,-59.848548,10.6315
192014.19,-59.842729,10.8326
195734.18,-59.836690,11.0373
199526.23,-59.830424,11.2457
203391.75,-59.823923,11.4578
207332.16,-59.817177,11.6737
211348.9,-59.810179,11.8934
215443.47,-59.802919,12.1170
219617.36,-59.795387,12.3446
223872.11,-59.787575,12.5761
228209.3,-59.779472,12.8117
232630.51,-59.771068,13.0514
237137.37,-59.762352,13.2953
241731.55,-59.753314,13.5433
246414.73,-59.743942,13.7957
251188.64,-59.734224,14.0523
256055.04,-59.724150,14.3134
261015.72,-59.713706,14.5789
266072.51,-59.702880,14.8488
271227.26,-59.691659,15.1233
276481.88,-59.680030,15.4024
281838.29,-59.667979,15.6860
287298.48,-59.655491,15.9744
292864.46,-59.642553,16.2675
298538.26,-59.629149,16.5654
304321.99,-59.615265,16.8680
310217.77,-59.600884,17.1756
316227.77,-59.585991,17.4880
322354.2,-59.570569,17.8054
328599.32,-59.554602,18.1277
334965.44,-59.538072,18.4551
341454.89,-59.520961,18.7875
348070.06,-59.503253,19.1250
354813.39,-59.484927,19.4676
361687.36,-59.465967,19.8153
368694.51,-59.446351,20.1682
375837.4,-59.426062,20.5263
383118.68,-59.405079,20.8896
390541.03,-59.383382,21.2581
398107.17,-59.360950,21.6318
405819.89,-59.337762,22.0108
413682.04,-59.313798,22.3950
421696.5,-59.289036,22.7844
429866.23,-59.263453,23.1791
438194.24,-59.237028,23.5791
446683.59,-59.209739,23.9842
455337.41,-59.181562,24.3946
464158.88,-59.152476,24.8101
473151.26,-59.122456,25.2309
482317.85,-59.091480,25.6567
491662.03,-59.059525,26.0877
501187.23,-59.026566,26.5237
510896.98,-58.992581,26.9648
520794.83,-58.957546,27.4108
530884.44,-58.921436,27.8617
541169.53,-58.884230,28.3175
551653.87,-58.845902,28.7781
562341.33,-58.806430,29.2434
573235.84,-58.765790,29.7134
584341.41,-58.723959,30.1879
595662.14,-58.680914,30.6669
607202.2,-58.636632,31.1502
618965.82,-58.591091,31.6379
630957.34,-58.544269,32.1297
643181.19,-58.496143,32.6255
655641.85,-58.446693,33.1253
668343.92,-58.395898,33.6289
681292.07,-58.343737,34.1362
694491.07,-58.290191,34.6470
707945.78,-58.235240,35.1612
721661.16,-58.178866,35.6787
735642.25,-58.121052,36.1993
749894.21,-58.061779,36.7228
764422.27,-58.001033,37.2491
779231.8,-57.938797,37.7780
794328.23,-57.875056,38.3094
809717.14,-57.809798,38.8430
825404.19,-57.743009,39.3788
841395.14,-57.674678,39.9164
857695.9,-57.604794,40.4557
874312.46,-57.533348,40.9966
891250.94,-57.460329,41.5388
908517.58,-57.385732,42.0822
926118.73,-57.309550,42.6265
944060.88,-57.231777,43.1715
962350.63,-57.152410,43.7171
980994.71,-57.071444,44.2630
1000000,-56.988880,44.8090
1019373.5,-56.904715,45.3550
1039122.3,-56.818950,45.9007
1059253.7,-56.731588,46.4459
1079775.2,-56.642631,46.9904
1100694.2,-56.552082,47.5341
1122018.5,-56.459948,48.0766
1143755.9,-56.366235,48.6179
1165914.4,-56.270949,49.1577
1188502.2,-56.174100,49.6959
1211527.7,-56.075698,50.2322
1234999.2,-55.975751,50.7664
1258925.4,-55.874274,51.2984
1283315.2,-55.771277,51.8280
1308177.5,-55.666775,52.3550
1333521.4,-55.560782,52.8793
1359356.4,-55.453313,53.4006
1385691.9,-55.344385,53.9188
1412537.5,-55.234014,54.4337
1439903.3,-55.122219,54.9453
1467799.3,-55.009017,55.4533
1496235.7,-54.894428,55.9576
1525223,-54.778471,56.4581
1554771.8,-54.661166,56.9546
1584893.2,-54.542535,57.4471
1615598.1,-54.422597,57.9353
1646897.9,-54.301376,58.4192
1678804,-54.178893,58.8986
1711328.3,-54.055170,59.3736
1744482.7,-53.930230,59.8439
1778279.4,-53.804095,60.3094
1812730.9,-53.676789,60.7702
1847849.8,-53.548335,61.2261
1883649.1,-53.418757,61.6770
1920141.9,-53.288076,62.1229
1957341.8,-53.156318,62.5637
1995262.3,-53.023506,62.9993
2033917.5,-52.889662,63.4298
2073321.6,-52.754811,63.8550
2113489,-52.618975,64.2749
2154434.7,-52.482177,64.6896
2196173.6,-52.344442,65.0988
2238721.1,-52.205790,65.5027
2282093,-52.066246,65.9012
2326305.1,-51.925831,66.2942
2371373.7,-51.784567,66.6819
2417315.5,-51.642477,67.0641
2464147.3,-51.499582,67.4408
2511886.4,-51.355902,67.8121
2560550.4,-51.211460,68.1780
2610157.2,-51.066275,68.5384
2660725.1,-50.920369,68.8934
2712272.6,-50.773760,69.2430
2764818.8,-50.626468,69.5872
2818382.9,-50.478512,69.9260
2872984.8,-50.329912,70.2594
2928644.6,-50.180685,70.5875
2985382.6,-50.030850,70.9103
3043219.9,-49.880424,71.2278
3102177.7,-49.729424,71.5400
3162277.7,-49.577866,71.8471
3223542,-49.425768,72.1489
3285993.2,-49.273146,72.4456
3349654.4,-49.120014,72.7372
3414548.9,-48.966388,73.0237
3480700.6,-48.812282,73.3052
3548133.9,-48.657711,73.5817
3616873.6,-48.502689,73.8532
3686945.1,-48.347229,74.1198
3758374,-48.191344,74.3816
3831186.8,-48.035047,74.6385
3905410.3,-47.878351,74.8907
3981071.7,-47.721266,75.1382
4058198.9,-47.563806,75.3810
4136820.4,-47.405980,75.6191
4216965,-47.247799,75.8527
4298662.3,-47.089275,76.0817
4381942.4,-46.930417,76.3063
4466835.9,-46.771235,76.5264
4553374.1,-46.611737,76.7421
4641588.8,-46.451934,76.9535
4731512.6,-46.291834,77.1606
4823178.5,-46.131444,77.3635
4916620.3,-45.970774,77.5621
5011872.3,-45.809830,77.7567
5108969.8,-45.648620,77.9471
5207948.3,-45.487151,78.1334
5308844.4,-45.325430,78.3158
5411695.3,-45.163463,78.4942
5516538.7,-45.001256,78.6687
5623413.3,-44.838815,78.8393
5732358.4,-44.676146,79.0062
5843414.1,-44.513254,79.1692
5956621.4,-44.350143,79.3285
6072022,-44.186818,79.4841
6189658.2,-44.023285,79.6361
6309573.4,-43.859546,79.7845
6431811.9,-43.695605,79.9293
6556418.5,-43.531467,80.0706
6683439.2,-43.367135,80.2084
6812920.7,-43.202611,80.3427
6944910.7,-43.037899,80.4737
7079457.8,-42.873000,80.6013
7216611.6,-42.707918,80.7256
7356422.5,-42.542654,80.8466
7498942.1,-42.377210,80.9643
7644222.7,-42.211588,81.0788
7792318,-42.045789,81.1901
7943282.3,-41.879813,81.2983
8097171.4,-41.713662,81.4034
8254041.9,-41.547337,81.5053
8413951.4,-41.380837,81.6042
8576959,-41.214163,81.7001
8743124.6,-41.047314,81.7929
8912509.4,-40.880290,81.8828
9085175.8,-40.713090,81.9697
9261187.3,-40.545713,82.0537
9440608.8,-40.378159,82.1348
9623506.3,-40.210425,82.2131
9809947.1,-40.042509,82.2884
10000000,-39.874411,82.3610
10193735,-39.706127,82.4307
10391223,-39.537654,82.4976
10592537,-39.368991,82.5618
10797752,-39.200134,82.6232
11006942,-39.031079,82.6819
11220185,-38.861822,82.7378
11437559,-38.692361,82.7910
11659144,-38.522689,82.8415
11885022,-38.352804,82.8893
12115277,-38.182699,82.9345
12349992,-38.012369,82.9769
12589254,-37.841808,83.0168
12833152,-37.671012,83.0539
13081775,-37.499972,83.0884
13335214,-37.328683,83.1203
13593564,-37.157136,83.1495
13856919,-36.985325,83.1760
14125375,-36.813242,83.2000
14399033,-36.640878,83.2212
14677993,-36.468224,83.2399
14962357,-36.295270,83.2559
15252230,-36.122008,83.2692
15547718,-35.948426,83.2798
15848932,-35.774513,83.2878
16155981,-35.600259,83.2931
16468979,-35.425651,83.2956
16788040,-35.250677,83.2955
17113283,-35.075323,83.2926
17444827,-34.899576,83.2870
17782794,-34.723421,83.2786
18127309,-34.546844,83.2674
18478498,-34.369827,83.2534
18836491,-34.192355,83.2365
19201419,-34.014411,83.2168
19573418,-33.835975,83.1941
19952623,-33.657029,83.1685
20339175,-33.477552,83.1399
20733216,-33.297525,83.1082
21134890,-33.116925,83.0735
21544347,-32.935729,83.0357
21961736,-32.753913,82.9946
22387211,-32.571452,82.9504
22820930,-32.388319,82.9028
23263051,-32.204488,82.8519
23713737,-32.019929,82.7976
24173155,-31.834611,82.7398
24641473,-31.648505,82.6784
25118864,-31.461575,82.6134
25605504,-31.273787,82.5446
26101572,-31.085105,82.4719
26607251,-30.895491,82.3954
27122726,-30.704904,82.3148
27648188,-30.513303,82.2300
28183829,-30.320642,82.1409
28729848,-30.126877,82.0474
29286446,-29.931957,81.9494
29853826,-29.735833,81.8467
30432199,-29.538450,81.7391
31021777,-29.339751,81.6265
31622777,-29.139679,81.5086
32235420,-28.938169,81.3854
32859932,-28.735156,81.2565
33496544,-28.530571,81.1218
34145489,-28.324342,80.9809
34807006,-28.116391,80.8338
35481339,-27.906637,80.6800
36168736,-27.694996,80.5193
36869451,-27.481376,80.3513
37583740,-27.265684,80.1758
38311868,-27.047817,79.9922
39054103,-26.827671,79.8003
39810717,-26.605132,79.5996
40581989,-26.380082,79.3896
41368204,-26.152395,79.1698
42169650,-25.921938,78.9396
42986623,-25.688569,78.6984
43819424,-25.452138,78.4456
44668359,-25.212486,78.1805
45533741,-24.969445,77.9022
46415888,-24.722833,77.6098
47315126,-24.472461,77.3026
48231785,-24.218126,76.9793
49166203,-23.959610,76.6389
50118723,-23.696683,76.2800
51089698,-23.429100,75.9014
52079483,-23.156599,75.5015
53088444,-22.878901,75.0784
54116953,-22.595709,74.6305
55165387,-22.306705,74.1554
56234133,-22.011551,73.6510
57323584,-21.709886,73.1144
58434141,-21.401327,72.5427
59566214,-21.085466,71.9326
60720220,-20.761870,71.2803
61896582,-20.430079,70.5814
63095734,-20.089612,69.8311
64318119,-19.739960,69.0237
65564185,-19.380595,68.1530
66834392,-19.010972,67.2116
68129207,-18.630536,66.1911
69449107,-18.238733,65.0818
70794578,-17.835030,63.8725
72166116,-17.418934,62.5502
73564225,-16.990030,61.0997
74989421,-16.548035,59.5035
76442227,-16.092862,57.7413
77923180,-15.624725,55.7894
79432823,-15.144280,53.6205
80971714,-14.652808,51.2033
82540419,-14.152476,48.5024
84139514,-13.646668,45.4787
85769590,-13.140395,42.0902
87431246,-12.640780,38.2944
89125094,-12.157540,34.0521
90851758,-11.703351,29.3341
92611873,-11.293860,24.1296
94406088,-10.947036,18.4572
96235063,-10.681575,12.3746
98099471,-10.514317,5.9839
1e+08,-10.457141,-0.5729
1.0193735e+08,-10.514350,-7.1300
1.0391223e+08,-10.681642,-13.5213
1.0592537e+08,-10.947136,-19.6049
1.0797752e+08,-11.293994,-25.2789
1.1006942e+08,-11.703519,-30.4853
1.1220185e+08,-12.157742,-35.2056
1.1437559e+08,-12.641016,-39.4506
1.1659144e+08,-13.140666,-43.2496
1.1885022e+08,-13.646974,-46.6417
1.2115277e+08,-14.152818,-49.6695
1.2349992e+08,-14.653186,-52.3748
1.2589254e+08,-15.144694,-54.7969
1.2833152e+08,-15.625177,-56.9711
1.3081775e+08,-16.093351,-58.9288
1.3335214e+08,-16.548563,-60.6972
1.3593564e+08,-16.990598,-62.3000
1.3856919e+08,-17.419541,-63.7575
1.4125375e+08,-17.835679,-65.0874
1.4399033e+08,-18.239424,-66.3047
