time (s),V(vdd_pll) (V),V(ctrl) (V),I(mp0) (A),V(vref) (V)
3.5805e-08,0.8000228,1.20001,0.000932858,0.6001018
3.582e-08,0.8000067,1.176075,0.0009315443,0.6000924
3.5835e-08,0.8000241,1.10002,0.0009280179,0.6000769
3.585e-08,0.8002318,0.9785617,0.0009219868,0.600112
3.5865e-08,0.8000097,0.8227951,0.0009134389,0.600086
3.588e-08,0.7998649,0.6467935,0.0009061249,0.6000859
3.5895e-08,0.799756,0.4665413,0.0008965347,0.6000605
3.591e-08,0.8001054,0.2984165,0.0008877467,0.6000835
3.5925e-08,0.7999118,0.1576556,0.000881234,0.6000811
3.594e-08,0.7998543,0.05699705,0.0008759235,0.6000895
3.5955e-08,0.7999386,0.005621381,0.0008730022,0.6001233
3.597e-08,0.8001634,2.611948e-05,0.0008722792,0.6001122
3.5985e-08,0.800108,1.851795e-06,0.0008719822,0.6000816
3.6e-08,0.7999031,8.079292e-06,0.000873306,0.6001217
3.8e-08,0.8000839,-1.904155e-05,0.0008738969,0.6001135
3.9295e-08,0.7999364,4.40603e-06,0.0008737392,0.6000837
3.931e-08,0.7998502,2.426141e-06,0.000872989,0.6001032
3.9325e-08,0.7998763,9.463147e-06,0.0008720897,0.6001285
3.934e-08,0.7998685,0.01174658,0.0008727765,0.6001045
3.9355e-08,0.7999417,0.07757579,0.0008766014,0.6001082
3.937e-08,0.8001007,0.1952127,0.0008823043,0.6000841
3.9385e-08,0.7998094,0.3529722,0.0008905591,0.6001292
3.94e-08,0.8000232,0.5352059,0.0008994464,0.6000978
3.9415e-08,0.7998033,0.7238187,0.0009086256,0.6000891
3.943e-08,0.7998495,0.9002123,0.0009177937,0.6000957
3.9445e-08,0.7999927,1.046837,0.0009262974,0.6001081
3.946e-08,0.8000751,1.149173,0.0009303302,0.6001218
3.9475e-08,0.7999967,1.197064,0.0009327882,0.6001235
3.949e-08,0.7999391,1.200028,0.000932509,0.6001255
3.9505e-08,0.7998898,1.199993,0.0009331114,0.6001272
3.98e-08,0.7997899,1.199989,0.0009329628,0.600119
3.981e-08,0.8000128,1.200001,0.0009336521,0.6000793
3.982e-08,0.8000665,1.199991,0.0009328831,0.6000802
3.983e-08,0.7999324,1.199989,0.0009330726,0.6001223
3.984e-08,0.7998691,1.200005,0.0009329251,0.6000644
3.985e-08,0.7998703,1.200006,0.0009321985,0.6001307
3.986e-08,0.8001124,1.200011,0.0009330533,0.6000789
3.987e-08,0.8000683,1.199988,0.0009329148,0.6001116
3.988e-08,0.8001137,1.199967,0.0009324833,0.6001223
3.989e-08,0.8000622,1.200008,0.000932348,0.6001249
3.99e-08,0.8000156,1.200017,0.0009327203,0.6001284
3.991e-08,0.799962,1.199959,0.0009331272,0.6000948
3.992e-08,0.7999985,1.200002,0.000933053,0.6001616
3.993e-08,0.8001206,1.2,0.0009329292,0.6001398
3.994e-08,0.7998822,1.199997,0.0009332985,0.6001328
3.995e-08,0.8000913,1.199996,0.0009328785,0.6000851
3.996e-08,0.7999641,1.2,0.000932996,0.6001457
3.997e-08,0.7998601,1.2,0.0009324789,0.6001022
3.998e-08,0.7997735,1.200008,0.0009328758,0.6001199
3.999e-08,0.8000478,1.200008,0.0009330498,0.6001294
4e-08,0.799764,1.200012,0.0009333552,0.6001386
4.001e-08,0.7999779,1.199974,0.000932491,0.6001242
4.002e-08,0.7997565,1.200017,0.0009330795,0.6000651
4.003e-08,0.7998083,1.200017,0.0009345362,0.6000742
4.004e-08,0.7996305,1.200017,0.000935276,0.6000863
4.005e-08,0.7993244,1.200011,0.000936094,0.6001334
4.006e-08,0.7992953,1.199997,0.000938512,0.6001226
4.007e-08,0.7989095,1.199992,0.0009395461,0.6000784
4.008e-08,0.798417,1.200001,0.0009427511,0.6001131
4.009e-08,0.7983265,1.199986,0.0009454262,0.6000849
4.01e-08,0.7977135,1.199997,0.0009483745,0.6001377
4.011e-08,0.7970103,1.199987,0.0009508369,0.6000803
4.012e-08,0.7969829,1.199977,0.0009540471,0.6000897
4.013e-08,0.7965216,1.199998,0.0009574234,0.600101
4.014e-08,0.7957217,1.199962,0.0009613311,0.6001231
4.015e-08,0.7951983,1.199992,0.000965296,0.6001096
4.016e-08,0.7945549,1.200042,0.0009706562,0.6000922
4.017e-08,0.7940438,1.19999,0.0009756878,0.6000946
4.018e-08,0.7931732,1.199998,0.000980068,0.6001092
4.019e-08,0.7923146,1.199991,0.0009847359,0.6001207
4.02e-08,0.7916887,1.199988,0.0009902284,0.6001411
4.021e-08,0.7907307,1.200034,0.0009959001,0.6000953
4.022e-08,0.7898758,1.200014,0.001001752,0.6001431
4.023e-08,0.7889129,1.200009,0.00100766,0.6001026
4.024e-08,0.7881656,1.200039,0.001014654,0.6001037
4.025e-08,0.7872354,1.200002,0.001021315,0.6001098
4.026e-08,0.7861324,1.200011,0.001027329,0.6001172
4.027e-08,0.7851023,1.200013,0.001035012,0.6000902
4.028e-08,0.7842545,1.199988,0.001042483,0.6001093
4.029e-08,0.7831717,1.19995,0.001048651,0.6001059
4.03e-08,0.7817616,1.199985,0.001056335,0.6001063
4.031e-08,0.7810462,1.199984,0.001064005,0.6001168
4.032e-08,0.7797463,1.199977,0.001071411,0.600107
4.033e-08,0.7784036,1.199974,0.001080515,0.6001167
4.034e-08,0.7774195,1.199973,0.001088588,0.600119
4.035e-08,0.7761205,1.199993,0.001095232,0.6001074
4.036e-08,0.7748889,1.200006,0.00110624,0.6001069
4.037e-08,0.7737533,1.199997,0.001113986,0.6001206
4.038e-08,0.7722873,1.200049,0.001121381,0.6000928
4.039e-08,0.7709968,1.200034,0.001131031,0.6000954
4.04e-08,0.7696759,1.199965,0.001139814,0.6000889
4.041e-08,0.7685349,1.200013,0.001149171,0.6001039
4.042e-08,0.767606,1.199985,0.001158158,0.6001208
4.043e-08,0.7659612,1.200029,0.001167654,0.6001052
4.044e-08,0.76461,1.199988,0.001176903,0.60012
4.045e-08,0.7633905,1.19999,0.001186038,0.6001198
4.046e-08,0.761949,1.199981,0.001194762,0.6000824
4.047e-08,0.7605751,1.200017,0.001204601,0.600115
4.048e-08,0.7594106,1.200015,0.001214323,0.6000909
4.049e-08,0.7580036,1.199982,0.00122346,0.6001201
4.05e-08,0.7563705,1.200022,0.001232583,0.6001205
4.051e-08,0.7552531,1.20001,0.001242314,0.6000718
4.052e-08,0.7539121,1.199998,0.001251743,0.6000956
4.053e-08,0.7525153,1.200037,0.001261714,0.6001252
4.054e-08,0.751221,1.199999,0.001270722,0.6001001
4.055e-08,0.7498494,1.200005,0.001279721,0.6001305
4.056e-08,0.7486504,1.200001,0.00128889,0.6000998
4.057e-08,0.7472225,1.200012,0.001297816,0.6001213
4.058e-08,0.7460339,1.200014,0.001308354,0.600108
4.059e-08,0.7445301,1.199964,0.001316754,0.6001043
4.06e-08,0.7433972,1.200015,0.001325876,0.6001465
4.061e-08,0.7420833,1.200018,0.001334496,0.6001602
4.062e-08,0.7409881,1.199967,0.001343419,0.6001243
4.063e-08,0.7398891,1.199999,0.001352029,0.6000996
4.064e-08,0.738301,1.200009,0.00136111,0.6000932
4.065e-08,0.7370227,1.200019,0.001369194,0.6001062
4.066e-08,0.7362622,1.200011,0.001378017,0.6001135
4.067e-08,0.7350417,1.199984,0.001386219,0.600108
4.068e-08,0.7336677,1.199974,0.001394055,0.6001403
4.069e-08,0.7326667,1.199963,0.001401825,0.6001162
4.07e-08,0.7317064,1.199996,0.001409735,0.6001081
4.071e-08,0.7303402,1.199995,0.00141761,0.6001079
4.072e-08,0.7293625,1.200005,0.001423426,0.600052
4.073e-08,0.7284109,1.199967,0.001430389,0.6001017
4.074e-08,0.7275031,1.199996,0.001439119,0.6001013
4.075e-08,0.726607,1.200012,0.001444867,0.6001532
4.076e-08,0.7255807,1.200018,0.001452488,0.6001
4.077e-08,0.7248153,1.199998,0.00145764,0.6001036
4.078e-08,0.7238631,1.199967,0.001465047,0.6000923
4.079e-08,0.7228607,1.199974,0.001469459,0.6001155
4.08e-08,0.7223611,1.199977,0.001475987,0.6001037
4.081e-08,0.7216678,1.200008,0.001480915,0.6001257
4.082e-08,0.7207768,1.199977,0.001485913,0.600089
4.083e-08,0.7200146,1.200004,0.00149157,0.6001067
4.084e-08,0.719588,1.199978,0.001496101,0.6001046
4.085e-08,0.7188194,1.199998,0.001500364,0.6001395
4.086e-08,0.7182774,1.200044,0.001503687,0.6001142
4.087e-08,0.7177668,1.200002,0.00150821,0.6000794
4.088e-08,0.7175339,1.199996,0.001513001,0.6000929
4.089e-08,0.7166418,1.19997,0.001515451,0.6001176
4.09e-08,0.7167775,1.200009,0.001518711,0.6000982
4.091e-08,0.7162378,1.200007,0.001520638,0.6001073
4.092e-08,0.7159147,1.200017,0.001522937,0.6001021
4.093e-08,0.715564,1.199995,0.001525607,0.6001255
4.094e-08,0.7152173,1.200007,0.001528151,0.6001067
4.095e-08,0.7150506,1.200031,0.001529033,0.6000999
4.096e-08,0.7151861,1.199968,0.001531429,0.6000947
4.097e-08,0.7148235,1.200004,0.001531572,0.6000913
4.098e-08,0.7147973,1.199996,0.001532336,0.6001033
4.099e-08,0.7146958,1.199986,0.001533535,0.6000752
4.1e-08,0.7147441,1.200046,0.001532326,0.6001184
4.101e-08,0.7147591,1.199984,0.001532744,0.6001189
4.102e-08,0.7149503,1.200023,0.001533334,0.600136
4.103e-08,0.7147818,1.200047,0.001532828,0.6001084
4.104e-08,0.7149385,1.200012,0.001532418,0.6001034
4.105e-08,0.7148305,1.199991,0.001533192,0.6001535
4.106e-08,0.714988,1.199993,0.001533393,0.6001115
4.107e-08,0.7149303,1.200021,0.001533041,0.6001084
4.108e-08,0.7149156,1.200001,0.001532581,0.6001069
4.109e-08,0.7150825,1.200019,0.001532818,0.6001208
4.11e-08,0.7152598,1.199994,0.001532307,0.6001148
4.111e-08,0.7151077,1.200007,0.001532312,0.6001242
4.112e-08,0.7151772,1.199984,0.001533352,0.6000817
4.113e-08,0.7155143,1.200053,0.001532702,0.6001118
4.114e-08,0.7156704,1.199979,0.001533099,0.6000744
4.115e-08,0.715457,1.199982,0.001532749,0.6001138
4.116e-08,0.7154654,1.200012,0.001532533,0.600089
4.117e-08,0.7159195,1.199989,0.001532165,0.6000945
4.118e-08,0.7154819,1.199989,0.00153378,0.6001095
4.119e-08,0.7158304,1.200016,0.001533284,0.6000996
4.12e-08,0.7155322,1.200016,0.001532324,0.600097
4.121e-08,0.7158364,1.199979,0.001532624,0.6001145
4.122e-08,0.7158308,1.200023,0.001532638,0.6001002
4.123e-08,0.7155963,1.19998,0.001533204,0.6001165
4.124e-08,0.7156135,1.199964,0.001533187,0.600078
4.125e-08,0.7158526,1.200014,0.001533315,0.60013
4.126e-08,0.715783,1.199975,0.001533268,0.6001158
4.127e-08,0.7156732,1.200011,0.001533325,0.6001154
4.128e-08,0.7159886,1.199997,0.001533152,0.6001202
4.129e-08,0.7158332,1.199981,0.001533217,0.6001215
4.13e-08,0.7161093,1.200026,0.001532258,0.6001095
4.131e-08,0.7160221,1.20005,0.001532721,0.6001101
4.132e-08,0.7160957,1.199981,0.001533179,0.600133
4.133e-08,0.7160235,1.199955,0.001532247,0.6001119
4.134e-08,0.7161435,1.200005,0.001533567,0.600124
4.135e-08,0.7160392,1.200012,0.001533101,0.6000979
4.136e-08,0.7160789,1.199988,0.001533385,0.6000799
4.137e-08,0.716169,1.200006,0.001533029,0.6001032
4.138e-08,0.7164355,1.200004,0.00153281,0.6001205
4.139e-08,0.7164798,1.200029,0.001533506,0.6001342
4.14e-08,0.7165009,1.200003,0.00153317,0.6001113
4.141e-08,0.7165591,1.200004,0.001533895,0.6000957
4.142e-08,0.7166383,1.200005,0.001532496,0.6001102
4.143e-08,0.7167354,1.200012,0.00153347,0.6001255
4.144e-08,0.7167676,1.199986,0.001532373,0.6000752
4.145e-08,0.7168554,1.199999,0.001534704,0.6000906
4.146e-08,0.7168434,1.199973,0.001532508,0.6000908
4.147e-08,0.7171368,1.19999,0.001533203,0.6001434
4.148e-08,0.7167889,1.200008,0.001533333,0.6001304
4.149e-08,0.7169291,1.199987,0.001532953,0.6000917
4.15e-08,0.7170035,1.199994,0.001532857,0.6000724
4.151e-08,0.717014,1.200008,0.001532658,0.6001467
4.152e-08,0.7169998,1.199998,0.001532585,0.6001079
4.153e-08,0.717269,1.199973,0.00153202,0.6001136
4.154e-08,0.7170945,1.200014,0.001533627,0.6000966
4.155e-08,0.7172865,1.200007,0.001532988,0.6000938
4.156e-08,0.7172298,1.199997,0.001533095,0.6000972
4.157e-08,0.7174735,1.200032,0.001532653,0.6000911
4.158e-08,0.717314,1.200015,0.001533228,0.6001237
4.159e-08,0.7173946,1.200026,0.001533835,0.6000903
4.16e-08,0.7172321,1.199994,0.001533122,0.6000891
4.161e-08,0.7174313,1.200009,0.001532397,0.6001382
4.162e-08,0.7174454,1.200001,0.001533603,0.6001348
4.163e-08,0.7174024,1.200037,0.001532733,0.6001404
4.164e-08,0.7174313,1.19999,0.001533025,0.6001121
4.165e-08,0.7176133,1.200004,0.001532536,0.6000927
4.166e-08,0.7177528,1.19998,0.001533386,0.6000999
4.167e-08,0.7178343,1.199975,0.001533649,0.6001441
4.168e-08,0.7176143,1.199976,0.001533429,0.6001072
4.169e-08,0.7178424,1.199995,0.001533214,0.6001037
4.17e-08,0.7178185,1.199998,0.001532939,0.6001138
4.171e-08,0.7181903,1.199981,0.001533152,0.6001336
4.172e-08,0.7181762,1.199999,0.001534098,0.6001386
4.173e-08,0.718084,1.200013,0.001532507,0.6000924
4.174e-08,0.7184494,1.200041,0.001532611,0.6000931
4.175e-08,0.7184955,1.199971,0.001532594,0.6000754
4.176e-08,0.7181204,1.200009,0.001533903,0.6001124
4.177e-08,0.7182079,1.199994,0.001532999,0.6001411
4.178e-08,0.7182825,1.200016,0.001533115,0.6001031
4.179e-08,0.7187359,1.199976,0.001534114,0.600116
4.18e-08,0.7187309,1.200008,0.001532894,0.6001049
4.181e-08,0.7186922,1.199995,0.001533351,0.6001121
4.182e-08,0.7186634,1.199989,0.001533879,0.6001145
4.183e-08,0.7190159,1.199998,0.001532838,0.6001067
4.184e-08,0.7186057,1.200002,0.001533076,0.6001331
4.185e-08,0.7190302,1.199961,0.001533689,0.6000938
4.186e-08,0.7189324,1.200009,0.001533513,0.6000879
4.187e-08,0.7186329,1.2,0.001532221,0.6001151
4.188e-08,0.7191089,1.199989,0.001533028,0.6001491
4.189e-08,0.7189262,1.200009,0.001532943,0.6001303
4.19e-08,0.7193153,1.199997,0.001532439,0.6001187
4.191e-08,0.7189056,1.199983,0.001533287,0.6000968
4.192e-08,0.7187677,1.200038,0.001532957,0.6001614
4.193e-08,0.7191975,1.200018,0.001532664,0.6001461
4.194e-08,0.7194675,1.200052,0.001532637,0.6000806
4.195e-08,0.7193331,1.199985,0.001532113,0.6000733
4.196e-08,0.7196863,1.199976,0.00153359,0.6001282
4.197e-08,0.7195818,1.199997,0.00153319,0.6001422
4.198e-08,0.7193788,1.200012,0.001532775,0.6001175
4.199e-08,0.7193461,1.199989,0.001533677,0.6001002
4.2e-08,0.719409,1.200014,0.001532911,0.6001221
4.205e-08,0.7198486,1.200006,0.001533489,0.6001319
4.21e-08,0.7201483,1.199997,0.001532255,0.600122
4.215e-08,0.7202988,1.200022,0.00153293,0.6000982
4.2175e-08,0.7206189,1.200019,0.001531968,0.6001112
4.219e-08,0.7207297,1.199998,0.001533149,0.6000955
4.22e-08,0.720868,1.199995,0.001533208,0.6000916
4.2205e-08,0.7210449,1.199836,0.001533145,0.6001225
4.222e-08,0.7207134,1.168323,0.001531995,0.6001116
4.2235e-08,0.7211979,1.085216,0.001526127,0.6000752
4.225e-08,0.720788,0.9581136,0.001520797,0.6000922
4.2265e-08,0.7211908,0.7984895,0.001512854,0.6000906
4.228e-08,0.7213735,0.6208986,0.001503425,0.6001728
