v /vdd_pll; tran (V) X,v /vdd_pll; tran (V) Y,i /mp0; tran (A) X,i /mp0; tran (A) Y
2.942e-08,0.7998661,4.122e-08,0.001532638
2.9465e-08,0.7999546,4.129e-08,0.001533217
2.951e-08,0.8002529,4.136e-08,0.001533385
2.9555e-08,0.8001948,4.143e-08,0.00153347
3e-08,0.7999391,4.15e-08,0.001532857
3.291e-08,0.8002633,4.157e-08,0.001532653
3.2955e-08,0.7997537,4.164e-08,0.001533025
3.3e-08,0.7998781,4.171e-08,0.001533152
3.3045e-08,0.7998598,4.178e-08,0.001533115
3.309e-08,0.8000814,4.185e-08,0.001533689
3.5775e-08,0.7999747,4.192e-08,0.001532957
3.582e-08,0.8000067,4.199e-08,0.001533677
3.5865e-08,0.8000097,4.22e-08,0.001533208
3.591e-08,0.8001054,4.2295e-08,0.001496308
3.5955e-08,0.7999386,4.237e-08,0.001472344
3.6e-08,0.7999031,4.265e-08,0.001473387
3.931e-08,0.7998502,4.3e-08,0.001473652
3.9355e-08,0.7999417,4.335e-08,0.001473075
3.94e-08,0.8000232,4.37e-08,0.001472938
3.9445e-08,0.7999927,4.405e-08,0.001473017
3.949e-08,0.7999391,4.44e-08,0.0014735
3.981e-08,0.8000128,4.475e-08,0.001472968
3.984e-08,0.7998691,4.51e-08,0.0014733
3.987e-08,0.8000683,4.545e-08,0.00147193
3.99e-08,0.8000156,4.571e-08,0.001472972
3.993e-08,0.8001206,4.58e-08,0.00150523
3.996e-08,0.7999641,4.589e-08,0.001533748
3.999e-08,0.8000478,4.615e-08,0.001532775
4.002e-08,0.7997565,4.65e-08,0.001533225
4.005e-08,0.7993244,4.685e-08,0.001533477
4.008e-08,0.798417,4.72e-08,0.001532554
4.011e-08,0.7970103,4.755e-08,0.001533312
4.014e-08,0.7957217,4.79e-08,0.001532237
4.017e-08,0.7940438,4.8605e-08,0.001533524
4.02e-08,0.7916887,4.871e-08,0.001484039
4.023e-08,0.7889129,4.92e-08,0.001473159
4.026e-08,0.7861324,5.1e-08,0.001473067
4.029e-08,0.7831717,5.2125e-08,0.001473432
4.032e-08,0.7797463,5.223e-08,0.001521068
4.035e-08,0.7761205,5.28e-08,0.001533697
4.038e-08,0.7722873,5.49e-08,0.001533537
4.041e-08,0.7685349,5.5065e-08,0.001512301
4.044e-08,0.76461,5.517e-08,0.001472672
4.047e-08,0.7605751,5.64e-08,0.001473038
4.05e-08,0.7563705,5.82e-08,0.001473229
4.053e-08,0.7525153,5.857e-08,0.001483555
4.056e-08,0.7486504,5.8675e-08,0.001532788
4.059e-08,0.7445301,6e-08,0.001533432
4.062e-08,0.7409881,6.1405e-08,0.001533456
4.065e-08,0.7370227,6.15e-08,0.001491338
4.068e-08,0.7336677,6.18e-08,0.001473017
4.071e-08,0.7303402,6.36e-08,0.001472309
4.074e-08,0.7275031,6.491e-08,0.001473445
4.077e-08,0.7248153,6.5015e-08,0.001512749
4.08e-08,0.7223611,6.5105e-08,0.001534006
4.083e-08,0.7200146,6.72e-08,0.001532581
4.086e-08,0.7182774,6.7835e-08,0.001526773
4.089e-08,0.7166418,6.794e-08,0.001475004
4.092e-08,0.7159147,6.87e-08,0.001473689
4.095e-08,0.7150506,7.05e-08,0.001473196
4.098e-08,0.7147973,7.1355e-08,0.001478391
4.101e-08,0.7147591,7.146e-08,0.001532069
4.104e-08,0.7149385,7.26e-08,0.001532821
4.107e-08,0.7149303,7.4175e-08,0.001532723
4.11e-08,0.7152598,7.428e-08,0.001503677
4.113e-08,0.7155143,7.4385e-08,0.001473384
4.116e-08,0.7154654,7.6e-08,0.001473535
4.119e-08,0.7158304,7.77e-08,0.001473483
4.122e-08,0.7158308,7.78e-08,0.001504259
4.125e-08,0.7158526,7.7905e-08,0.001532308
4.128e-08,0.7159886,7.98e-08,0.001532276
4.131e-08,0.7160221,8.062e-08,0.001531311
4.134e-08,0.7161435,8.071e-08,0.001486659
4.137e-08,0.716169,8.13e-08,0.001472902
4.14e-08,0.7165009,8.31e-08,0.001472791
4.143e-08,0.7167354,8.414e-08,0.001473786
4.146e-08,0.7168434,8.4245e-08,0.001526887
4.149e-08,0.7169291,8.49e-08,0.001532733
4.152e-08,0.7169998,8.67e-08,0.001532519
4.155e-08,0.7172865,8.705e-08,0.001518495
4.158e-08,0.717314,8.7155e-08,0.001472162
4.161e-08,0.7174313,8.82e-08,0.001472419
4.164e-08,0.7174313,9.03e-08,0.001472645
4.167e-08,0.7178343,9.0585e-08,0.001493843
4.17e-08,0.7178185,9.069e-08,0.00153319
4.173e-08,0.718084,9.21e-08,0.001532601
4.176e-08,0.7181204,9.3405e-08,0.001532428
4.179e-08,0.7187359,9.351e-08,0.001482707
4.182e-08,0.7186634,9.39e-08,0.001472948
4.185e-08,0.7190302,9.57e-08,0.001472584
4.188e-08,0.7191089,9.6925e-08,0.001472146
4.191e-08,0.7189056,9.703e-08,0.001519012
4.194e-08,0.7194675,9.75e-08,0.001533206
4.197e-08,0.7195818,9.93e-08,0.001532165
4.2e-08,0.719409,9.985e-08,0.001522732
4.215e-08,0.7202988,9.994e-08,0.001476371
4.22e-08,0.720868,1.008e-07,0.001473542
4.2235e-08,0.7211979,1.029e-07,0.001473848
4.228e-08,0.7213735,1.0337e-07,0.001485142
4.231e-08,0.721408,1.03475e-07,0.001533265
4.235e-08,0.7215382,1.044e-07,0.001532987
4.2385e-08,0.7219083,1.06175e-07,0.001532383
4.25e-08,0.7225127,1.06265e-07,0.001511997
4.265e-08,0.7237777,1.0637e-07,0.001473202
4.28e-08,0.7245177,1.08e-07,0.001472894
4.295e-08,0.7257886,1.0971e-07,0.001473073
4.31e-08,0.7269477,1.09815e-07,0.001513011
4.325e-08,0.7278562,1.1e-07,0.001532683
4.34e-08,0.7293331,1.119e-07,0.001533085
4.355e-08,0.7305244,1.1262e-07,0.001530716
4.37e-08,0.7316268,1.12725e-07,0.001480203
4.385e-08,0.7330801,1.134e-07,0.001473275
4.4e-08,0.7341535,1.155e-07,0.001472666
4.415e-08,0.7354284,1.1614e-07,0.001474396
4.43e-08,0.7370449,1.16245e-07,0.001528448
4.445e-08,0.7383182,1.17e-07,0.00153298
4.46e-08,0.7397158,1.188e-07,0.00153342
4.475e-08,0.7411293,1.19065e-07,0.001509665
4.49e-08,0.7427622,1.19155e-07,0.001472747
4.505e-08,0.7443719,1.1944e-07,0.001472405
4.52e-08,0.7455996,1.1951e-07,0.001472691
4.535e-08,0.7469751,1.1958e-07,0.001472553
4.55e-08,0.7488011,1.1965e-07,0.001473413
4.565e-08,0.750437,1.1972e-07,0.001472878
4.571e-08,0.7509321,1.1979e-07,0.001472884
4.575e-08,0.751652,1.1986e-07,0.001472804
4.5785e-08,0.7518364,1.1993e-07,0.00147242
4.583e-08,0.7522444,1.2e-07,0.001473605
4.586e-08,0.7522806,1.2007e-07,0.001473356
4.59e-08,0.7529113,1.2014e-07,0.001472823
4.6e-08,0.7541836,1.2021e-07,0.001473845
4.615e-08,0.7557631,1.2028e-07,0.001472541
4.63e-08,0.757459,1.2035e-07,0.001473801
4.645e-08,0.7589886,1.2042e-07,0.001473288
4.66e-08,0.7605719,1.2049e-07,0.001473568
4.675e-08,0.7622881,1.2056e-07,0.001473207
4.69e-08,0.7641928,1.215e-07,0.00147351
4.705e-08,0.7659047,1.22525e-07,0.001473124
4.72e-08,0.7677814,1.2263e-07,0.001521488
4.735e-08,0.7692128,1.23e-07,0.001532834
4.75e-08,0.7710134,1.248e-07,0.001531934
4.765e-08,0.7727153,1.25435e-07,0.001525864
4.78e-08,0.7744436,1.2554e-07,0.001475308
4.795e-08,0.7764007,1.266e-07,0.001472729
4.8575e-08,0.7836669,1.284e-07,0.0014732
4.8605e-08,0.7839191,1.2897e-07,0.001486044
4.865e-08,0.7843855,1.29075e-07,0.001532839
4.8695e-08,0.7846965,1.302e-07,0.001533423
4.874e-08,0.7854701,1.3179e-07,0.001532956
4.8785e-08,0.7860767,1.31895e-07,0.001494549
4.95e-08,0.7942825,1.32e-07,0.001472968
5.01e-08,0.8011207,1.34e-07,0.00147313
5.1e-08,0.8109789,1.3531e-07,0.001472406
5.19e-08,0.8202678,1.35415e-07,0.001511623
5.211e-08,0.82239,1.356e-07,0.001533896
5.2155e-08,0.8227853,1.374e-07,0.001532169
5.22e-08,0.8234078,1.38235e-07,0.001528537
5.2245e-08,0.8240785,1.38325e-07,0.001480358
5.229e-08,0.824276,1.392e-07,0.001473342
5.28e-08,0.8288798,1.41e-07,0.001472832
5.37e-08,0.8368816,1.41755e-07,0.00147731
5.46e-08,0.8434725,1.4186e-07,0.001531387
5.499e-08,0.8457725,1.425e-07,0.001533429
5.5035e-08,0.8463471,1.44575e-07,0.001533159
5.508e-08,0.8468834,1.44665e-07,0.001513671
5.5125e-08,0.8470323,1.4477e-07,0.001473246
5.517e-08,0.8470091,1.461e-07,0.001473165
5.55e-08,0.8491542,1.48e-07,0.001473171
5.61e-08,0.8523404,1.48185e-07,0.001494668
5.7e-08,0.8556836,1.4829e-07,0.001533216
5.79e-08,0.8580055,1.5e-07,0.001533598
5.8495e-08,0.8591613,1.5102e-07,0.001530887
5.8525e-08,0.8593152,1.51125e-07,0.001477952
5.857e-08,0.8590543,1.518e-07,0.001473033
5.8615e-08,0.8592488,1.536e-07,0.001473544
5.866e-08,0.8593848,1.54525e-07,0.001472172
5.8705e-08,0.8591929,1.5463e-07,0.001522417
5.94e-08,0.859579,1.551e-07,0.001533149
6.03e-08,0.8587147,1.572e-07,0.001532879
6.12e-08,0.8564794,1.57465e-07,0.001509803
6.1405e-08,0.8561348,1.57555e-07,0.001473672
6.145e-08,0.8558842,1.587e-07,0.001473706
6.1495e-08,0.8556977,1.605e-07,0.001472985
6.1525e-08,0.8553515,1.6097e-07,0.001485613
6.157e-08,0.855414,1.61075e-07,0.001534156
6.2e-08,0.8539752,1.623e-07,0.001532286
6.27e-08,0.8510525,1.638e-07,0.001533103
6.36e-08,0.8465336,1.63895e-07,0.00149236
6.42e-08,0.8428311,1.64e-07,0.001472789
6.4895e-08,0.8382922,1.659e-07,0.001472464
6.494e-08,0.8380983,1.6731e-07,0.001472454
6.4985e-08,0.8378989,1.67415e-07,0.001512356
6.503e-08,0.837609,1.677e-07,0.001532025
6.5075e-08,0.8372446,1.698e-07,0.00153252
6.5105e-08,0.836907,1.70235e-07,0.001527333
6.6e-08,0.8307755,1.7034e-07,0.001475083
6.69e-08,0.8242262,1.713e-07,0.001472592
6.7775e-08,0.817242,1.731e-07,0.00147306
6.7805e-08,0.8170582,1.73755e-07,0.001477209
6.785e-08,0.8165959,1.7386e-07,0.001530164
6.7895e-08,0.8164279,1.749e-07,0.001533495
6.794e-08,0.8158287,1.76575e-07,0.001532599
6.7985e-08,0.8154827,1.7668e-07,0.001502861
6.84e-08,0.8122125,1.7677e-07,0.001473201
6.93e-08,0.8051366,1.782e-07,0.001473147
7e-08,0.8002131,1.80095e-07,0.001473286
7.08e-08,0.7940848,1.802e-07,0.001503565
7.131e-08,0.7903322,1.803e-07,0.001532723
7.1355e-08,0.7901171,1.82e-07,0.001533371
7.14e-08,0.7896575,1.83005e-07,0.001532325
7.1445e-08,0.7895091,1.8311e-07,0.001483528
7.149e-08,0.789062,1.836e-07,0.001472509
7.2e-08,0.7857886,1.854e-07,0.001473029
7.29e-08,0.7799214,1.8654e-07,0.001475294
7.38e-08,0.7746624,1.86645e-07,0.001528286
7.4175e-08,0.7727238,1.875e-07,0.00153284
7.422e-08,0.7724218,1.893e-07,0.001532734
7.4265e-08,0.7723804,1.89465e-07,0.001515057
7.431e-08,0.7722659,1.8957e-07,0.001473585
7.4355e-08,0.7720445,1.908e-07,0.001472162
7.44e-08,0.7717815,1.92895e-07,0.00147261
7.53e-08,0.7679669,1.92985e-07,0.001495754
7.6e-08,0.7653725,1.9309e-07,0.001532848
7.68e-08,0.763147,1.944e-07,0.001533414
7.7695e-08,0.7614358,1.95805e-07,0.00153352
7.7725e-08,0.7613832,1.959e-07,0.0014946
7.777e-08,0.7611748,1.96e-07,0.00147325
7.7815e-08,0.7609446,1.98e-07,0.001473595
7.786e-08,0.760986,1.99325e-07,0.001472641
7.7905e-08,0.7609238,1.9943e-07,0.001519123
7.86e-08,0.7602761,1.998e-07,0.001532989
7.95e-08,0.7602796,2.016e-07,0.001533559
8.01e-08,0.7605525,2.0222e-07,0.001532447
8.059e-08,0.7611589,2.02325e-07,0.001479777
8.0635e-08,0.7613055,2.031e-07,0.001473059
8.068e-08,0.7611643,2.052e-07,0.00147219
8.071e-08,0.7613914,2.0577e-07,0.001485921
8.0755e-08,0.7612957,2.05875e-07,0.001533088
8.1e-08,0.7616675,2.07e-07,0.001532752
8.19e-08,0.7640027,2.08575e-07,0.001533914
8.25e-08,0.7648919,2.0868e-07,0.001504077
8.34e-08,0.7681862,2.08785e-07,0.001472933
8.4095e-08,0.7707504,2.12095e-07,0.001472788
8.414e-08,0.7710196,2.122e-07,0.00150082
8.4185e-08,0.7711544,2.12305e-07,0.00153196
8.423e-08,0.7714291,2.1505e-07,0.001522633
8.4275e-08,0.7717474,2.15155e-07,0.001472717
8.4305e-08,0.7716559,2.18525e-07,0.00147324
8.52e-08,0.7757422,2.1863e-07,0.001519128
8.6e-08,0.7796234,2.21375e-07,0.001532957
8.67e-08,0.7829561,2.2148e-07,0.001502459
8.7e-08,0.7844265,2.21585e-07,0.00147331
8.7035e-08,0.7846843,2.24955e-07,0.001479628
8.708e-08,0.7847123,2.2506e-07,0.001531658
8.7125e-08,0.7850931,2.27805e-07,0.001533087
8.717e-08,0.7853799,2.2791e-07,0.001487866
8.76e-08,0.7875608,2.3e-07,0.001473509
8.82e-08,0.790646,2.31385e-07,0.001496281
8.91e-08,0.7951902,2.3149e-07,0.001531904
9e-08,0.8002133,2.3422e-07,0.001531637
9.051e-08,0.8024524,2.34325e-07,0.001479895
9.0555e-08,0.8030218,2.3771e-07,0.001472471
9.06e-08,0.8030034,2.37815e-07,0.001511631
9.0645e-08,0.8033765,2.38e-07,0.001533102
9.069e-08,0.803616,2.4065e-07,0.001521109
9.12e-08,0.8060141,2.40755e-07,0.001472579
9.2e-08,0.8096214,2.44125e-07,0.001472769
9.27e-08,0.812689,2.4423e-07,0.001522096
9.3375e-08,0.8150861,2.46975e-07,0.001532492
9.342e-08,0.815301,2.4708e-07,0.001502115
9.3465e-08,0.816052,2.47185e-07,0.00147269
9.351e-08,0.8159522,2.5001e-07,0.001473662
9.3555e-08,0.8161245,2.50024e-07,0.00147239
9.36e-08,0.8161529,2.50038e-07,0.001473194
9.42e-08,0.8181217,2.50052e-07,0.001473802
9.51e-08,0.8210799,2.50525e-07,0.001473219
9.6e-08,0.8231535,2.5063e-07,0.001521807
9.6895e-08,0.8249584,2.53375e-07,0.001533477
9.6925e-08,0.8252615,2.5348e-07,0.001501092
9.697e-08,0.8253794,2.53585e-07,0.001472483
9.7015e-08,0.8252222,2.56955e-07,0.00147826
9.706e-08,0.8249614,2.5706e-07,0.00153115
9.7105e-08,0.8251874,2.59805e-07,0.001532468
9.78e-08,0.8259966,2.5991e-07,0.001485456
9.84e-08,0.8264479,2.62e-07,0.001473579
9.93e-08,0.8268004,2.63385e-07,0.001492731
9.979e-08,0.8265033,2.6349e-07,0.001533348
9.9835e-08,0.8264264,2.6622e-07,0.001531753
9.988e-08,0.8261871,2.66325e-07,0.001480906
9.991e-08,0.8264139,2.6971e-07,0.001473169
9.9955e-08,0.8265593,2.69815e-07,0.001512534
1e-07,0.8265317,2.7e-07,0.001533081
1.008e-07,0.8261511,2.7265e-07,0.00151773
1.017e-07,0.8248032,2.72755e-07,0.001472522
1.026e-07,0.8227919,2.76125e-07,0.001472958
1.03295e-07,0.8216649,2.7623e-07,0.001522307
1.0334e-07,0.8214285,2.78975e-07,0.001533088
1.03385e-07,0.8214605,2.7908e-07,0.001504137
1.0343e-07,0.8211409,2.79185e-07,0.001472214
1.03475e-07,0.8211023,2.82555e-07,0.001477717
1.03505e-07,0.8211238,2.8266e-07,0.001531934
1.041e-07,0.8193741,2.85405e-07,0.001532116
1.05e-07,0.8166976,2.8551e-07,0.001485406
1.059e-07,0.813945,2.88e-07,0.001472598
1.0619e-07,0.8131063,2.88985e-07,0.001495547
1.0622e-07,0.8131121,2.8909e-07,0.001533341
1.06265e-07,0.8131274,2.91835e-07,0.001529379
1.0631e-07,0.8128417,2.9194e-07,0.001476268
1.06355e-07,0.8126213,2.9531e-07,0.001473274
1.065e-07,0.8121957,2.95415e-07,0.001511492
1.074e-07,0.809078,2.96e-07,0.001533238
1.083e-07,0.8059338,2.9825e-07,0.00151905
1.092e-07,0.8026754,2.98355e-07,0.001472253
1.0971e-07,0.8013912,,
1.09755e-07,0.8008275,,
1.098e-07,0.8006961,,
1.09845e-07,0.8003983,,
1.0989e-07,0.8004177,,
1.101e-07,0.7995639,,
1.11e-07,0.7966902,,
1.119e-07,0.7938407,,
1.125e-07,0.7918605,,
1.12605e-07,0.7915482,,
1.1265e-07,0.7915551,,
1.12695e-07,0.791635,,
1.1274e-07,0.7915331,,
1.12785e-07,0.7913268,,
1.134e-07,0.7897995,,
1.143e-07,0.787289,,
1.152e-07,0.7856182,,
1.16e-07,0.7845037,,
1.1611e-07,0.7840615,,
1.16155e-07,0.7843572,,
1.162e-07,0.7839198,,
1.16245e-07,0.7842084,,
1.1629e-07,0.7839399,,
1.167e-07,0.7834308,,
1.176e-07,0.7827293,,
1.182e-07,0.7824882,,
1.18975e-07,0.7820643,,
1.1902e-07,0.7821612,,
1.19065e-07,0.7822312,,
1.191e-07,0.7821769,,
1.1914e-07,0.7819829,,
1.19185e-07,0.7821095,,
1.1942e-07,0.7817791,,
1.1945e-07,0.7820792,,
1.1948e-07,0.7821349,,
1.1951e-07,0.7820577,,
1.1954e-07,0.7821606,,
1.1957e-07,0.7818279,,
1.196e-07,0.7823939,,
1.1963e-07,0.7821567,,
1.1966e-07,0.7820641,,
1.1969e-07,0.7821251,,
1.1972e-07,0.7821029,,
1.1975e-07,0.7821896,,
1.1978e-07,0.7819977,,
1.1981e-07,0.7815443,,
1.1984e-07,0.7816843,,
1.1987e-07,0.7812201,,
1.199e-07,0.7806771,,
1.1993e-07,0.7796543,,
1.1996e-07,0.7793312,,
1.1999e-07,0.7788566,,
1.2002e-07,0.7791055,,
1.2005e-07,0.7796539,,
1.2008e-07,0.7803161,,
1.2011e-07,0.7810066,,
1.2014e-07,0.7812893,,
1.2017e-07,0.7816759,,
1.202e-07,0.7820751,,
1.2023e-07,0.7821617,,
1.2026e-07,0.7821475,,
1.2029e-07,0.7826828,,
1.2032e-07,0.7824317,,
1.2035e-07,0.7821929,,
1.2038e-07,0.7822837,,
1.2041e-07,0.7823297,,
1.2044e-07,0.7825369,,
1.2047e-07,0.7824501,,
1.205e-07,0.7824488,,
1.2053e-07,0.7827463,,
1.2056e-07,0.782717,,
1.2059e-07,0.7828439,,
1.212e-07,0.7831848,,
1.22e-07,0.783741,,
1.22495e-07,0.7839812,,
1.2254e-07,0.7845688,,
1.22585e-07,0.7844159,,
1.2263e-07,0.7847538,,
1.22675e-07,0.7846072,,
1.22705e-07,0.7847483,,
1.236e-07,0.7860404,,
1.242e-07,0.7871882,,
1.251e-07,0.7888231,,
1.254e-07,0.789687,,
1.25435e-07,0.7894199,,
1.2548e-07,0.7895852,,
1.25525e-07,0.7895152,,
1.2557e-07,0.7897301,,
1.26e-07,0.791058,,
1.269e-07,0.7927621,,
1.278e-07,0.7947856,,
1.284e-07,0.7964921,,
1.2891e-07,0.7976121,,
1.28955e-07,0.7976518,,
1.29e-07,0.7977269,,
1.29045e-07,0.7978515,,
1.2909e-07,0.7980591,,
1.296e-07,0.799313,,
1.302e-07,0.8002635,,
1.311e-07,0.8024383,,
1.31775e-07,0.8038,,
1.3182e-07,0.8039914,,
1.31865e-07,0.8042725,,
1.3191e-07,0.8041544,,
1.31955e-07,0.8039117,,
1.32e-07,0.8043403,,
1.329e-07,0.8060413,,
1.338e-07,0.8076253,,
1.344e-07,0.8087545,,
1.35295e-07,0.8096682,,
1.35325e-07,0.8097482,,
1.3537e-07,0.8098794,,
1.35415e-07,0.809658,,
1.3546e-07,0.8097601,,
1.35505e-07,0.8098946,,
1.36e-07,0.8102159,,
1.368e-07,0.8110385,,
1.377e-07,0.8118294,,
1.3819e-07,0.8117023,,
1.38235e-07,0.811656,,
1.3828e-07,0.8117705,,
1.3831e-07,0.8118261,,
1.38355e-07,0.8117696,,
1.386e-07,0.8119378,,
1.395e-07,0.8119034,,
1.401e-07,0.8120241,,
1.41e-07,0.8116745,,
1.41695e-07,0.8109173,,
1.4174e-07,0.8111012,,
1.41785e-07,0.8108176,,
1.4183e-07,0.8110579,,
1.41875e-07,0.8110076,,
1.41905e-07,0.8108922,,
1.425e-07,0.8103211,,
1.434e-07,0.8093506,,
1.443e-07,0.8087553,,
1.446e-07,0.8081639,,
1.44635e-07,0.8080397,,
1.4468e-07,0.8080826,,
1.44725e-07,0.8080382,,
1.4477e-07,0.8080704,,
1.452e-07,0.8075452,,
1.46e-07,0.8060471,,
1.467e-07,0.8050265,,
1.476e-07,0.8037905,,
1.48095e-07,0.8028544,,
1.4814e-07,0.802737,,
1.48185e-07,0.8027527,,
1.4823e-07,0.8026818,,
1.48275e-07,0.8025805,,
1.485e-07,0.8023803,,
1.494e-07,0.8007369,,
1.503e-07,0.7998703,,
1.50975e-07,0.7989801,,
1.5102e-07,0.7983473,,
1.51065e-07,0.7985585,,
1.5111e-07,0.7985774,,
1.51155e-07,0.798228,,
1.512e-07,0.7984161,,
1.52e-07,0.7970239,,
1.527e-07,0.7962598,,
1.536e-07,0.7952434,,
1.542e-07,0.7948216,,
1.5451e-07,0.7943909,,
1.54555e-07,0.7941191,,
1.546e-07,0.7940494,,
1.54645e-07,0.7942103,,
1.5469e-07,0.7941917,,
1.551e-07,0.793805,,
1.56e-07,0.7929421,,
1.569e-07,0.7928216,,
1.5739e-07,0.7923153,,
1.57435e-07,0.7924979,,
1.5748e-07,0.7920436,,
1.5751e-07,0.7922757,,
1.57555e-07,0.7920573,,
1.578e-07,0.7919826,,
1.584e-07,0.7918007,,
1.593e-07,0.7918398,,
1.6e-07,0.792161,,
1.608e-07,0.7921092,,
1.60925e-07,0.7922306,,
1.6097e-07,0.7921768,,
1.61015e-07,0.7923971,,
1.6106e-07,0.792043,,
1.611e-07,0.7923135,,
1.617e-07,0.7925703,,
1.626e-07,0.7930175,,
1.635e-07,0.7937705,,
1.638e-07,0.7938832,,
1.63835e-07,0.7941633,,
1.6388e-07,0.7939514,,
1.63925e-07,0.7942414,,
1.6397e-07,0.7938995,,
1.641e-07,0.7942731,,
1.65e-07,0.7949688,,
1.659e-07,0.7958194,,
1.665e-07,0.795935,,
1.67295e-07,0.797278,,
1.6734e-07,0.7973694,,
1.67385e-07,0.796899,,
1.6743e-07,0.7971177,,
1.67475e-07,0.7976322,,
1.677e-07,0.7973513,,
1.686e-07,0.7984093,,
1.695e-07,0.7994431,,
1.701e-07,0.8002368,,
1.70205e-07,0.8001886,,
1.7025e-07,0.800079,,
1.70295e-07,0.8004874,,
1.7034e-07,0.8004425,,
1.70385e-07,0.8003806,,
1.71e-07,0.8011378,,
1.719e-07,0.8018695,,
1.725e-07,0.8024044,,
1.734e-07,0.8032017,,
1.7371e-07,0.8030634,,
1.73755e-07,0.8036595,,
1.738e-07,0.8034726,,
1.73845e-07,0.8036182,,
1.7389e-07,0.8034273,,
1.743e-07,0.8041085,,
1.752e-07,0.8045794,,
1.76e-07,0.8047348,,
1.76575e-07,0.8050643,,
1.7662e-07,0.8047029,,
1.76665e-07,0.8049175,,
1.767e-07,0.8048095,,
1.7674e-07,0.8051208,,
1.76785e-07,0.8049639,,
1.776e-07,0.8051552,,
1.782e-07,0.8052339,,
1.791e-07,0.8053907,,
1.8e-07,0.8054049,,
1.80125e-07,0.8052251,,
1.8017e-07,0.8054966,,
1.80215e-07,0.8053348,,
1.8026e-07,0.805365,,
1.803e-07,0.8051627,,
1.809e-07,0.8052697,,
1.818e-07,0.8049941,,
1.824e-07,0.8047192,,
1.8299e-07,0.8044621,,
1.8302e-07,0.8043349,,
1.83065e-07,0.8045038,,
1.8311e-07,0.8042603,,
1.83155e-07,0.8044938,,
1.833e-07,0.8044108,,
1.84e-07,0.8039433,,
1.848e-07,0.8036769,,
1.857e-07,0.8033187,,
1.86495e-07,0.8023007,,
1.8654e-07,0.8024482,,
1.86585e-07,0.8023622,,
1.8663e-07,0.8022459,,
1.86675e-07,0.8024389,,
1.869e-07,0.8024137,,
1.878e-07,0.8016241,,
1.884e-07,0.8010813,,
1.893e-07,0.8003959,,
1.89405e-07,0.800513,,
1.8945e-07,0.8002535,,
1.89495e-07,0.8004256,,
1.8954e-07,0.800567,,
1.89585e-07,0.8003956,,
1.9e-07,0.8000446,,
1.908e-07,0.7991745,,
1.917e-07,0.7987191,,
